kalame,mani,pstatus,pdate,nstatus,ndate
ilginç,جالب,1,2023-01-18,1,2023-01-19
masa örtüsü,رومیزی,1,2023-01-18,1,2023-01-19
matbaa,چاپخانه,1,2023-01-18,1,2023-01-19
kırtasiye,لوازم تحریر,1,2023-01-18,1,2023-01-19
benzeri,مشابه,1,2023-01-18,1,2023-01-19
pano,پنل، تخته,1,2023-01-18,1,2023-01-19
ilan,اعلان-اعلامیه,1,2023-01-18,1,2023-01-19
seçmek,انتخاب کردن,1,2023-01-18,1,2023-01-19
kızmak,عصبانی شدن,1,2023-01-18,1,2023-01-19
takim,تیم,1,2023-01-18,1,2023-01-19
ertesi gün,روز بعد,1,2023-01-18,1,2023-01-19
duymak,شنیدن,1,2023-01-18,1,2023-01-19
yaklaşmak,نزدیک شدن,1,2023-01-18,1,2023-01-19
ayrılmak,ترک کردن,1,2023-01-18,1,2023-01-19
uyumak,خوابیدن,1,2023-01-18,1,2023-01-19
yatmak,خوابیدن,1,2023-01-18,1,2023-01-19
kalkmak,بلند شدن,1,2023-01-18,1,2023-01-19
uyanmak,بیدار شدن,1,2023-01-18,1,2023-01-19
bayılmak,خیلی دوست داشتن چیزی,1,2023-01-18,1,2023-01-19
yurum,کامنت,1,2023-01-18,1,2023-01-19
durmak,ایستادن، توقف کردن,1,2023-01-18,1,2023-01-19
borç,بدهی,1,2023-01-18,1,2023-01-19
koymak,گذاشتن,1,2023-01-18,1,2023-01-19
sanmak,فکرکردن,1,2023-01-18,1,2023-01-19
giymek,پوشیدن,1,2023-01-18,1,2023-01-19
denemek,پرو کردن,1,2023-01-18,1,2023-01-19
güneşlenmek,آفتاب گرفتن,1,2023-01-18,1,2023-01-19
vakit geçirmek,وقت گذراندن,1,2023-01-18,1,2023-01-19
balık tutmak,ماهی گیری کردن,1,2023-01-18,1,2023-01-19
düşmek,پایین افتادن,1,2023-01-18,1,2023-01-19
çekmek,کشیدن(چیزی),1,2023-01-18,1,2023-01-19
çıkmak,خارج شدن,1,2023-01-18,1,2023-01-19
düşünmek,فکر کردن,1,2023-01-18,1,2023-01-19
buluşmak,ملاقات کردن,1,2023-01-18,1,2023-01-19
itmek,هل دادن,1,2023-01-18,1,2023-01-19
yikamak,شستن,1,2023-01-18,1,2023-01-19
gülmek,خندیدن,1,2023-01-18,1,2023-01-19
ağlamak,گریه کردن,1,2023-01-18,1,2023-01-19
tıraş olmak,ریش زدن,1,2023-01-18,1,2023-01-19
silmek,پاک کردن,1,2023-01-18,1,2023-01-19
çamaşır,ملافه,1,2023-01-18,1,2023-01-19
aski,چوپ لباسی,1,2023-01-18,1,2023-01-19
yüzük,حلقه,1,2023-01-18,1,2023-01-19
bulmak,پیدا کردن,1,2023-01-18,1,2023-01-19
etmek,انجام دادن,1,2023-01-18,1,2023-01-19
tatmak,چشیدن,1,2023-01-18,1,2023-01-19
düzenli,منظم,1,2023-01-18,1,2023-01-19
dağınık,بی نظم,1,2023-01-18,1,2023-01-19
başlamak,شروع کردن,1,2023-01-18,1,2023-01-19
yurulmak,خسته شدن,1,2023-01-18,1,2023-01-19
geçmek,عبور کردن,1,2023-01-18,1,2023-01-19
beslenmek,تعذیه شدن,1,2023-01-18,1,2023-01-19
inmek,پیاده شدن,1,2023-01-18,1,2023-01-19
borç,بدهی,1,2023-01-18,1,2023-01-19
biriktirmek,جمع آوری کردن,1,2023-01-18,1,2023-01-19
dolaşmak,گردش کردن,1,2023-01-18,1,2023-01-19
kalmak,ماندن,1,2023-01-18,1,2023-01-19
gizmek,گردش کردن,1,2023-01-18,1,2023-01-19
özlemek,دلتنگ شدن,1,2023-01-18,1,2023-01-19
sıkılmak,حوصله سر رفتن,1,2023-01-18,1,2023-01-19
yürümek,پیاده روی کردن,1,2023-01-18,1,2023-01-19
konu,موضوع,1,2023-01-18,1,2023-01-19
emekli,بازنشسته,1,2023-01-18,1,2023-01-19
veteriner,دامپزشک,1,2023-01-18,1,2023-01-19
kiş,زمستان,1,2023-01-18,1,2023-01-19
kazak,پلیور,1,2023-01-18,1,2023-01-19
örmek,بافتن,1,2023-01-18,1,2023-01-19
dağ,کوه,1,2023-01-18,1,2023-01-19
bölge,منطقه ناحیه,1,2023-01-18,1,2023-01-19
inanmak,باور کردن,1,2023-01-18,1,2023-01-19
sevgi,علاقه,1,2023-01-18,1,2023-01-19
saygi,احترام,1,2023-01-18,1,2023-01-19
anlaşmak,تفاهم داشتن,1,2023-01-18,1,2023-01-19
güvenmek,اعتماد کردن,1,2023-01-18,1,2023-01-19
çeyrek,ربع,1,2023-01-18,1,2023-01-19
gecikmek,به تاخیر انداختن,1,2023-01-18,1,2023-01-19
toplantı,جلسه,1,2023-01-18,1,2023-01-19
sürecek,ادامه داشتن,1,2023-01-18,1,2023-01-19
göndermek,فرستادن,1,2023-01-18,1,2023-01-19
zevkli,باسلیقه,1,2023-01-18,1,2023-01-19
kol,بازو,1,2023-01-18,1,2023-01-19
kutlamak,جشن گرفتن تبریک گفتن,1,2023-01-18,1,2023-01-19
katılmak,پیوستن,1,2023-01-18,1,2023-01-19
geri,عقب,1,2023-01-18,1,2023-01-19
arka,پشت,1,2023-01-18,1,2023-01-19
karşı,روبرو,1,2023-01-18,1,2023-01-19
ön,جلو,1,2023-01-18,1,2023-01-19
yıkamak,شستن,1,2023-01-18,1,2023-01-19
ayırmak,ذخیره کردن رزرو کردن,1,2023-01-18,1,2023-01-19
birliktelik,باهم بودن,1,2023-01-18,1,2023-01-19
dilemek,آرزو کردن,1,2023-01-18,1,2023-01-19
boy,قد,1,2023-01-18,1,2023-01-19
boya,رنگ,1,2023-01-18,1,2023-01-19
cimri,خسیس,1,2023-01-18,1,2023-01-19
çoşku,اشتیاق,1,2023-01-18,1,2023-01-19
dilek,آرزو,1,2023-01-18,1,2023-01-19
geveze,پرحرف,1,2023-01-18,1,2023-01-19
gevezelik (yapmak),غر غر کردن,1,2023-01-18,1,2023-01-19
kutlama,شادی جشن,1,2023-01-18,1,2023-01-19
zorluk,سختی,1,2023-01-18,1,2023-01-19
asmak,آویزان کردن,1,2023-01-18,1,2023-01-19
atlamak,پریدن,1,2023-01-18,1,2023-01-19
benzemek,شبیه بودن,1,2023-01-18,1,2023-01-19
doğmak,زاییده شدن,1,2023-01-18,1,2023-01-19
evlenmek,ازدواج کردن,1,2023-01-18,1,2023-01-19
heyecanlanmak,به هیجان آمدن,3,2023-01-19 00:00:00,1,2023-01-19
karşılamak,پیشواز رفتن استقبال کردن,1,2023-01-18,1,2023-01-19
korumak,محافظت کردن,1,2023-01-18,1,2023-01-19
kutlu olmak,شاد شدن,1,2023-01-18,1,2023-01-19
öpmek,بوسیدن,1,2023-01-18,1,2023-01-19
sürmek,راندن,1,2023-01-18,1,2023-01-19
vedalaşmak,خداحافظی کردن,1,2023-01-18,1,2023-01-19
yakmak,سوزاندن روشن کردن,1,2023-01-18,1,2023-01-19
gülmek,خندیدن,1,2023-01-18,1,2023-01-19
şaka,شوخی,1,2023-01-18,1,2023-01-19
tavla,تخته نرد,1,2023-01-18,1,2023-01-19
götürmek,بردن,1,2023-01-18,1,2023-01-19
yaklaşık,تقریبا,1,2023-01-18,1,2023-01-19
anlaşmak,تفاهم داشتن - توافق کردن,1,2023-01-18,1,2023-01-19
yarıyıl tatili,تعطیلات میانسال,1,2023-01-18,1,2023-01-19
artık,دیگر,1,2023-01-18,1,2023-01-19
yer ayırt,رزرو کردن,1,2023-01-18,1,2023-01-19
etkinlik,فعالیت,1,2023-01-18,1,2023-01-19
ağrı kesici,مسکن,1,2023-01-18,1,2023-01-19
akciğer,ریه,1,2023-01-18,1,2023-01-19
akıllı,باهوش,1,2023-01-18,1,2023-01-19
akraba,نسبت فامیلی,1,2023-01-18,1,2023-01-19
alan,منطقه. ناحیه,1,2023-01-18,1,2023-01-19
alın,پیشانی,1,2023-01-18,1,2023-01-19
belirti,علامت,1,2023-01-18,1,2023-01-19
ateş düştüğü,تب بر,1,2023-01-18,1,2023-01-19
cimri,خسیس,1,2023-01-18,1,2023-01-19
Cömert,سخاوتمند,1,2023-01-18,1,2023-01-19
çiftçi,کشاورز,1,2023-01-18,1,2023-01-19
gürültü,سر و صدا,1,2023-01-18,1,2023-01-19
halsiz,تنبل,1,2023-01-18,1,2023-01-19
heykel,مجسمه,1,2023-01-18,1,2023-01-19
soğuk algınlığı,سرماخوردگی,1,2023-01-18,1,2023-01-19
reçete,نسخه,1,2023-01-18,1,2023-01-19
parmak,انگشت,1,2023-01-18,1,2023-01-19
otantik,معتبر,1,2023-01-18,1,2023-01-19
neşeli,خوشحال,1,2023-01-18,1,2023-01-19
kulak,گوش,1,2023-01-18,1,2023-01-19
köprü,پل,1,2023-01-18,1,2023-01-19
kırıl,شکسته,1,2023-01-18,1,2023-01-19
ten,پوست,1,2023-01-18,1,2023-01-19
yanak,گونه,1,2023-01-18,1,2023-01-19
yenge,خواهر شوهر,1,2023-01-18,1,2023-01-19
ağırmak,دردکردن,1,2023-01-18,1,2023-01-19
beğenmek,پسندیدن,1,2023-01-18,1,2023-01-19
anlaşmak,موافق بودن,1,2023-01-18,1,2023-01-19
danışmak,مشورت کردن,1,2023-01-18,1,2023-01-19
anlaşmak,موافق بودن,1,2023-01-18,1,2023-01-19
bayılmak,غش کردن,1,2023-01-18,1,2023-01-19
ilginlenmek,علاقه من بودن به,1,2023-01-18,1,2023-01-19
kaşinmak,خاریدن,1,2023-01-18,1,2023-01-19
katılmak,حفر کردن,1,2023-01-18,1,2023-01-19
midesi bulanmak,احساس مریضی کردن,1,2023-01-18,1,2023-01-19
sallanmak,لرزادن,1,2023-01-18,1,2023-01-19
tansiyon ölçtürmek,فشارخون گرفتن,1,2023-01-18,1,2023-01-19
merhaba,سلام,1,2023-01-18,1,2023-01-19
komşü,همسایه,1,2023-01-18,1,2023-01-19
ada,جزیره,1,2023-01-18,1,2023-01-19
akıllı,عاقل,1,2023-01-18,1,2023-01-19
altın,طلا,1,2023-01-18,1,2023-01-19
ana yemek,غذای اصلی,1,2023-01-18,1,2023-01-19
apartman,آپارتمان,1,2023-01-18,1,2023-01-19
aptal,نادان,1,2023-01-18,1,2023-01-19
âşık,عاشق,1,2023-01-18,1,2023-01-19
aşk,عشق,1,2023-01-18,1,2023-01-19
avuç,مشت(کف دست),1,2023-01-18,1,2023-01-19
baklava,باقلوا,1,2023-01-18,1,2023-01-19
beyaz,سفید,1,2023-01-18,1,2023-01-19
bez,پارچه نخی,1,2023-01-18,1,2023-01-19
bıyık,سبیل,1,2023-01-18,1,2023-01-19
biber,فلفل,1,2023-01-18,1,2023-01-19
bol,پُر,1,2023-01-18,1,2023-01-19
börek,خمیر باز شده(لقمه),1,2023-01-18,1,2023-01-19
bulut,ابر,1,2023-01-18,1,2023-01-19
büfe,بوفه,1,2023-01-18,1,2023-01-19
cadde,)خیابان(جاده,1,2023-01-18,1,2023-01-19
çikolata,شکلات,1,2023-01-18,1,2023-01-19
çim,چمن,1,2023-01-18,1,2023-01-19
çizgi,)خط(سطر,1,2023-01-18,1,2023-01-19
çöp,آشغال,1,2023-01-18,1,2023-01-19
dalgalı,موج دار,1,2023-01-18,1,2023-01-19
damar,رگ,1,2023-01-18,1,2023-01-19
demet,)دسته (دسته سبزیجات,1,2023-01-18,1,2023-01-19
dengesiz,نامتعادل,1,2023-01-18,1,2023-01-19
dilim,)قاچ (تکه بریده شده,1,2023-01-18,1,2023-01-19
dosdoğru,مستقیم,1,2023-01-18,1,2023-01-19
dürüst,)درست (خوب,1,2023-01-18,1,2023-01-19
düşünceli,بامالحظه,1,2023-01-18,1,2023-01-19
düzenli,مرتب,1,2023-01-18,1,2023-01-19
ecza dolabı,قفسه دارو,1,2023-01-18,1,2023-01-19
ela,)فندقی (عسلی,1,2023-01-18,1,2023-01-19
emir,)امر(فرمان,1,2023-01-18,1,2023-01-19
enerjik,با انرژی,1,2023-01-18,1,2023-01-19
esprili,شوخ,1,2023-01-18,1,2023-01-19
et,گوشت,1,2023-01-18,1,2023-01-19
faydalı,مفید,1,2023-01-18,1,2023-01-19
gece,شب,1,2023-01-18,1,2023-01-19
gerekli,)واجب(الزم,1,2023-01-18,1,2023-01-19
gökyüzü,آسمان,1,2023-01-18,1,2023-01-19
gözlük,عینک,1,2023-01-18,1,2023-01-19
güler yüzlü,)خوشرو (خندان,1,2023-01-18,1,2023-01-19
güvenilir,قابل اعتماد,1,2023-01-18,1,2023-01-19
harika,فوق العاده,1,2023-01-18,1,2023-01-19
hayvan,حیوان,1,2023-01-18,1,2023-01-19
huzurlu,با آرامش,1,2023-01-18,1,2023-01-19
